customer_id,customer_name,industry,account_manager,subscription_start_date,subscription_end_date,subscription_status,plan_type,monthly_fee,user_count,last_login_date,monthly_active_users,feature_usage_score,retention_rate_6m,retention_rate_12m,churn_risk_score,last_success_touch_date,notes
ALPHA-ENT_001,Alpha Technologies Inc.,Technology,j.smith,2022-03-20,,active,Enterprise,4100,850,2024-06-11,810,92.5,97.2,96.8,0.06,2024-05-30,"High engagement, custom integrations deployed, annual review completed."
BETA-PRO_002,Beta Financial Group,Finance,k.jones,2023-09-17,,active,Pro,418.99,48,2024-06-12,44,81.4,93.5,,0.19,2024-06-07,"Moderate engagement, recent campaign spikes noted, considering upgrade."
GAMMA-BSC_003,Gamma Retail Solutions,Retail,,2024-02-25,,active,Basic,29.99,4,2024-06-10,2,32.1,,,0.44,2024-06-08,"Minimal engagement, price sensitive, single store operator."
DELTA-TRIAL_004,Delta Health Network,Healthcare,n.riley,2024-06-01,,trial,Pro,0,14,2024-06-13,7,41.7,,,0.39,2024-06-11,"Pilot program, early adopter, integration delays noted."
EPSILON-ENT_005,Epsilon Manufacturing,Manufacturing,d.lee,2021-07-13,,active,Enterprise,1950,180,2024-06-12,162,88.6,96.1,94.7,0.08,2024-06-10,"Custom workflows enabled, high engagement, annual review scheduled."
ZETA-PRO_006,Zeta Energy Corp,Energy,r.taylor,2022-12-15,,active,Pro,505.5,38,2024-06-12,34,73.8,82.6,78.2,0.27,2024-06-03,"Renewal approaching, moderate engagement, training requested."
THETA-BSC_007,Theta Agricultural Supply,Agriculture,,2023-12-09,,active,Basic,48,7,2024-06-09,4,19.4,,,0.51,2024-06-02,"Low engagement, price sensitive, considering alternative solutions."
IOTA-ENT_008,Iota Aerospace Systems,Aerospace,s.hughes,2021-09-28,,active,Enterprise,3200,410,2024-06-13,401,99,98.2,97.5,0.03,2024-06-12,"High engagement, custom integrations, quarterly business review."
KAPPA-PRO_009,Kappa Consulting,Professional Services,b.evans,2023-02-05,,active,Pro,346.75,27,2024-06-11,24,69.2,77.5,,0.32,2024-06-05,"Moderate engagement, campaign spikes, considering upgrade."
LAMBDA-BSC_010,Lambda Veterinary Care,Veterinary,,2023-10-21,2024-05-30,expired,Basic,39.99,3,2024-05-30,0,0,0,,0.95,2024-05-30,"Minimal engagement, price increase cited as reason for expiry."
MU-TRIAL_011,Mu Media Partners,Media,g.foster,2024-05-28,,trial,Basic,0,2,2024-06-12,1,8.2,,,0.61,2024-06-05,"Demo phase, minimal engagement, testing core features."
NU-ENT_012,Nu Testing Labs,Testing,m.diaz,2022-06-14,,active,Enterprise,2850,140,2024-06-11,135,87.8,91.5,90.2,0.09,2024-06-09,"High engagement, custom integrations, quarterly check-in."
XI-PRO_013,Xi Construction,Construction,t.white,2023-03-03,,active,Pro,512.25,54,2024-06-10,49,85.5,79.6,,0.21,2024-06-06,"Moderate engagement, new project onboarding underway."
OMICRON-BSC_014,Omicron Media Group,Media,,2023-07-17,2024-05-28,cancelled,Basic,45,8,2024-05-28,0,0,0,0,0.99,2024-05-28,"Minimal engagement, business merger prompted cancellation."
PI-TRIAL_015,Pi Advertising Solutions,Advertising,l.martin,2024-06-05,,trial,Pro,0,19,2024-06-13,11,59.1,,,0.54,2024-06-12,"Early adopter, pilot campaign in progress."
RHO-ENT_016,Rho Education Services,Education,c.lam,2021-04-22,,active,Enterprise,1150,110,2024-06-11,99,82.6,94.1,92.8,0.13,2024-06-01,"High engagement, custom reporting enabled, annual review scheduled."
SIGMA-PRO_017,Sigma Transportation,Transportation,v.stone,2023-01-16,,active,Pro,399.99,32,2024-06-11,28,77.7,74.5,,0.29,2024-06-09,"Moderate engagement, training scheduled."
TAU-BSC_018,Tau Solo Practice,Testing,,2023-09-04,2024-05-22,expired,Basic,19.99,1,2024-05-22,0,0,0,,1,2024-05-22,"Minimal engagement, solo operator, account expired due to inactivity."
UPSILON-ENT_019,Upsilon Aerospace,Aerospace,d.carter,2020-11-12,,active,Enterprise,5000,1000,2024-06-13,998,100,99.9,99.7,0.01,2024-06-12,"Exceptional engagement, multiple custom integrations, annual review positive."
PHI-PRO_020,Phi Healthcare Partners,Healthcare,a.morris,2022-09-05,,active,Pro,597,55,2024-06-10,52,89.3,89.5,87,0.11,2024-06-09,"High engagement, compliance integrations enabled."
CHI-BSC_021,Chi Agriculture Group,Agriculture,,2023-12-13,,active,Basic,21.5,2,2024-06-08,1,12.8,,,0.48,2024-06-04,"Low engagement, price sensitive, evaluating alternatives."
PSI-TRIAL_022,Psi Professional Services,Professional Services,t.campbell,2024-05-20,,trial,Pro,0,12,2024-06-12,5,29.3,,,0.67,2024-06-10,"Pilot, initial engagement positive, integration planned."
OMEGA-ENT_023,Omega Manufacturing Ltd.,Manufacturing,m.hall,2022-01-11,,active,Enterprise,2750,120,2024-06-13,118,94.2,93.7,93,0.07,2024-06-11,"High engagement, custom reporting enabled."
ALPHAPRIME-PRO_024,AlphaPrime Logistics,Transportation,f.wilson,2023-05-14,,active,Pro,350,26,2024-06-12,22,63.9,71.2,,0.33,2024-06-06,"Moderate engagement, logistics integration launched."
BETAPRIME-BSC_025,BetaPrime Retail,Retail,,2024-02-17,,active,Basic,22.99,1,2024-06-09,1,9.4,,,0.56,2024-06-04,"Minimal engagement, solo operator, evaluating platform."
GAMMAPRIME-ENT_026,GammaPrime Technologies,Technology,s.nguyen,2022-04-05,,active,Enterprise,1230,96,2024-06-13,85,80.9,91.4,89.2,0.15,2024-06-12,"High engagement, custom integrations deployed."
DELTAPRIME-PRO_027,DeltaPrime Health,Healthcare,r.brown,2023-08-15,,active,Pro,425,39,2024-06-11,36,78.7,84.9,,0.23,2024-06-08,"Moderate engagement, compliance training scheduled."
EPSILONPRIME-BSC_028,EpsilonPrime Supply,Manufacturing,,2023-11-19,2024-05-29,cancelled,Basic,28.5,3,2024-05-29,0,0,0,,0.97,2024-05-29,"Low engagement, business merger prompted cancellation."
ZETAPRIME-ENT_029,ZetaPrime Energy,Energy,e.king,2021-12-03,,active,Enterprise,2100,250,2024-06-12,235,95.1,98.3,97.4,0.04,2024-06-03,"High engagement, custom workflows enabled."
THETAPRIME-PRO_030,ThetaPrime Consulting,Professional Services,u.harris,2023-06-11,,active,Pro,315,28,2024-06-11,24,60,70.4,,0.38,2024-06-09,"Moderate engagement, training scheduled."
IOTAPRIME-BSC_031,IotaPrime Veterinary,Veterinary,,2023-11-11,2024-06-03,expired,Basic,37.99,5,2024-06-03,0,0,0,,0.93,2024-06-03,"Minimal engagement, price increase cited as reason for expiry."
KAPPAPRIME-ENT_032,KappaPrime Aerospace,Aerospace,x.morgan,2021-08-18,,active,Enterprise,1690,120,2024-06-13,105,84.3,91,90.7,0.11,2024-06-12,"High engagement, annual review completed."
LAMBDAPRIME-PRO_033,LambdaPrime Construction,Construction,q.baker,2023-04-12,,active,Pro,548,53,2024-06-12,48,86.7,77.2,,0.18,2024-06-11,"Moderate engagement, new project onboarding underway."
MUPRIME-BSC_034,MuPrime Media,Media,,2023-07-23,2024-05-31,cancelled,Basic,40,9,2024-05-31,0,0,0,0,0.99,2024-05-31,"Minimal engagement, business merger prompted cancellation."
NUPRIME-ENT_035,NuPrime Testing Labs,Testing,z.clark,2022-07-23,,active,Enterprise,2560,165,2024-06-13,157,89.8,96.3,94.1,0.07,2024-06-12,"High engagement, quarterly check-in completed."
XIPRIME-PRO_036,XiPrime Construction,Construction,w.murphy,2023-02-22,,active,Pro,490,49,2024-06-11,42,73.2,76.2,,0.25,2024-06-07,"Moderate engagement, campaign spikes."
OMICRONPRIME-BSC_037,OmicronPrime Retail,Retail,,2023-12-06,,active,Basic,42.99,6,2024-06-09,4,21.7,,,0.49,2024-06-05,"Low engagement, price sensitive."
